Player,Left Team,Joined Team
Haim Revivo,Maccabi Haifa,Celta de Vigo
Darren Huckerby,Newcastle,Coventry
Raúl Gordillo,Rosario Central,América
Jan Åge Fjørtoft,Middlesbrough,Sheff Utd
Júnior,EC Vitória,Palmeiras
Gavin Peacock,Chelsea,QPR
Mike Newell,Blackburn,Birmingham
Radek Bejbl,Slavia Prague,Atlético Madrid
Viktor Skrypnyk,Dnipro,Werder Bremen
Ander Garitano,Athletic,Real Zaragoza
Constantin Gâlcă,Steaua Bucharest,RCD Mallorca
Ged Brannan,Tranmere Rovers,Man City
Jochem van der Hoeven,Sparta R.,Vitesse
Sander Westerveld,Twente FC,Vitesse
Ady Williams,Reading,Wolves
Paul Peschisolido,Birmingham,West Brom
Rob Ullathorne,CA Osasuna,Leicester
Wayne Collins,Crewe Alexandra,Sheff Wed
Clive Mendonca,Grimsby Town,Charlton
Nikolaos Machlas,OFI Crete FC,Vitesse
Carlos Navarro Montoya,Boca Juniors,Extremadura
Stefano Fiore,Padova,Chievo Verona
Paulo Wanchope,Herediano,Derby
Carl Tiler,Aston Villa,Sheff Utd
Jens Nowotny,Karlsruher SC,B. Leverkusen
Ahmet Dursun,Wattenscheid 09,Kocaelispor
Egil Östenstad,Viking,Southampton
Sigurd Rushfeldt,Tromsø,Rosenborg
Jacob Laursen,Silkeborg IF,Derby
Mickey Evans,Plymouth,Southampton
César Prates,Internacional,Real Madrid B
Carsten Jancker,Rapid Vienna,Bayern Munich
Nicolas Anelka,Paris SG,Arsenal
Ion Vlădoiu,Steaua Bucharest,1.FC Köln
Andrzej Juskowiak,Olympiacos,Bor. M'gladbach
Martin Dahlin,AS Roma,Bor. M'gladbach
Christian Dailly,Dundee United,Derby
Dieter Frey,Bayern Munich,SC Freiburg
Manfred Bender,Karlsruher SC,1860 Munich
Heimo Pfeifenberger,Casino Salzburg,Werder Bremen
Enrico Chiesa,Sampdoria,AC Parma
Maik Taylor,Barnet,Southampton
Petr Kachuro,Dinamo Minsk,Sheff Utd
Víctor Fernández,CD Tenerife,Real Valladolid
Derek Lilley,Morton,Leeds
Milan Rapaic,Hajduk Split,Perugia
Michael O'Neill,Hibernian FC,Coventry
Steve Morrow,Arsenal,QPR
Marcus Browning,Bristol Rovers,Huddersfield
Sebastián Abreu,Defensor SC,San Lorenzo
Marek Penksa,Grazer AK,Rapid Vienna
Paul Groves,Grimsby Town,West Brom
Chris Holland,Newcastle,Birmingham
Mart Poom,Portsmouth,Derby
Allan Johnston,Heart of Midl.,Stade Rennais
John Bosman,RSC Anderlecht,Twente FC
Mirsad Hibic,Hajduk Split,Sevilla FC
Ermin Siljak,NK Olimpija,SC Bastia
Spencer Prior,Norwich,Leicester
Tommy Wright,Nottm Forest,Man City
Tony Coton,Man Utd,Sunderland
Matt Jackson,Everton,Norwich
Shaun Murphy,Notts County,West Brom
Gordon Watson,Southampton,Bradford
Wolfgang Feiersinger,Casino Salzburg,Bor. Dortmund
Ioan Lupescu,B. Leverkusen,Bor. M'gladbach
Neil Heaney,Southampton,Man City
Scott Oakes,Luton,Sheff Wed
Nick Henry,Oldham Athletic,Sheff Utd
Lee Sandford,Stoke City,Sheff Utd
Marc Wilmots,Standard Liège,FC Schalke 04
Axel Kruse,VfB Stuttgart,Hertha BSC
Claus Lundekvam,Brann,Southampton
Paul Beesley,Leeds,Man City
Martin Grainger,Brentford,Birmingham
Antonio Esposito,FC Lugano,Grasshoppers
Jan Suchoparek,Slavia Prague,R. Strasbourg
Paul Hartley,Hamilton Acad.,Millwall
Martin O'Connor,Peterborough,Birmingham
Gunnar Halle,Oldham Athletic,Leeds
Pat McGibbon,Man Utd,Wigan
Niko Kovac,Hertha BSC,B. Leverkusen
Ivo Georgiev,Spartak Varna,FC Aarau
Juan Román Riquelme,Argentinos II,Boca Juniors II
David Holdsworth,Watford,Sheff Utd
Mark Schwarzer,1.FC K'lautern,Bradford
Roy Carroll,Hull City,Wigan
Jan Heintze,KFC Uerdingen,B. Leverkusen
Adrian Knup,Karlsruher SC,Galatasaray
Dick van Burik,NAC Breda,FC Utrecht
Sean Gregan,Darlington,Preston
Barroso,SC Braga,FC Porto
Barry Hunter,Wrexham,Reading
Paul Cook,Coventry,Tranmere Rovers
Andy Morrison,Blackpool,Huddersfield
Steve Jones,West Ham,Charlton
Chris Allen,Oxford United,Nottm Forest
Andrés Grande,Argentinos Jrs.,UD Las Palmas
Ratinho,FC Aarau,1.FC K'lautern
Stephan Paßlack,KFC Uerdingen,Bor. M'gladbach
Matthias Hagner,E. Frankfurt,VfB Stuttgart
Thorsten Legat,E. Frankfurt,VfB Stuttgart
Eddie McGoldrick,Arsenal,Man City
Stan Lazaridis,West Adelaide SC,West Ham
Finazzi,São Paulo,Botafogo
Robbie Blake,Darlington,Bradford
Steve Finnan,Birmingham,Notts County
Paul Barnes,Birmingham,Burnley
David Beresford,Oldham Athletic,Huddersfield
Gary Ablett,Everton,Birmingham
Steve Slade,Tottenham,QPR
Robert Kovac,1.FC Nuremberg,B. Leverkusen
Danny Granville,Cambridge Utd.,Chelsea
Lee Duxbury,Bradford,Oldham Athletic
Martin O'Connor,Walsall,Peterborough
Bodo Schmidt,Bor. Dortmund,1.FC Köln
Vladimir Pašić,Rad,F. Düsseldorf
Ronny Ernst,Dynamo Dresden,1860 Munich
Oleksandr Kosyrin,Torpedo Zaporizhya,Dynamo Kyiv
Horacio Ameli,CA Colon,Rayo Vallecano
Sandro,Real Madrid B,UD Las Palmas
Viorel Moldovan,Neuchâtel Xamax,Grasshoppers
Andy Payton,Barnsley FC,Huddersfield
Andy Hessenthaler,Watford,Gillingham FC
Graham Potter,Southampton,West Brom
Scott Green,Bolton,Wigan
Giuseppe Reina,Wattenscheid 09,Arm. Bielefeld
Thomas Ziemer,1.FSV Mainz 05,Hansa Rostock
Marek Saganowski,LKS Lodz,Hamburger SV
Neil McCann,Dundee FC,Heart of Midl.
Graham Kavanagh,Middlesbrough,Stoke City
David Reeves,Carlisle United,Preston
Ali Elkhattabi,Sparta R.,Heerenveen
Daniel Prodan,Steaua Bucharest,Atlético Madrid
Rodolfo Cardoso,Werder Bremen,Hamburger SV
Mark Hateley,QPR,Rangers
Ally Pickering,Coventry,Stoke City
Chris Day,Tottenham,Crystal Palace
Barry Lavety,St. Mirren,Hibernian FC
Kevin Scott,Tottenham,Norwich
Tony Butler,Gillingham FC,Blackpool
Dietmar Beiersdorfer,1.FC Köln,Reggiana
Oscar Moens,Go Ahead Eagles,AZ Alkmaar
Tommy Widdrington,Southampton,Grimsby Town
Daniel Aquino,Rayo Vallecano,Albacete
David Hillier,Arsenal,Portsmouth
Justin Channing,Bristol Rovers,Leyton Orient
Christian Fröhlich,Dynamo Dresden,1860 München II
Graham Potter,Stoke City,Southampton
Andy Turner,Tottenham,Portsmouth
Adrian Whitbread,West Ham,Portsmouth
Sergej Barbarez,Union Berlin,Hansa Rostock
Horst Steffen,KFC Uerdingen,MSV Duisburg
Michael Sternkopf,Bor. M'gladbach,SC Freiburg
Marco Walker,FC Basel,1860 Munich
Andreas Köpke,E. Frankfurt,Marseille
Jan Eriksson,Helsingborgs IF,Sunderland
Cristian Ciocoiu,AS Bacău,Steaua Bucharest
Mark Kinsella,Colchester Utd.,Charlton
Mathias Svensson,Elfsborg,Portsmouth
Chris Malkin,Millwall,Blackpool
Edgaras Jankauskas,Zalgiris,CSKA Moscow
Konstantinos Frantzeskos,OFI Crete FC,PAOK Salonika
Jamie Cureton,Norwich,Bristol Rovers
John Hendrie,Middlesbrough,Barnsley FC
Gary Poole,Birmingham,Charlton
Haidong Hao,August 1st,DL Wanda
Claus-Dieter Wollitz,1.FC K'lautern,KFC Uerdingen
Stephen Baidoo,Goldfields SC,Ankaragücü
Krisztián Lisztes,Ferencváros,VfB Stuttgart
Blazo Raosavljevic,Rad,UD Las Palmas
Darren Edmondson,Carlisle United,Huddersfield
Thomas Franck,Bor. Dortmund,1.FC K'lautern
Michael Kostner,FC 08 Homburg,1.FC Köln
Markos Rainer Rauffmann,E. Frankfurt,Arm. Bielefeld
Markus Oberleitner,Unterhaching,Bayern Munich
Bernd Dreher,KFC Uerdingen,Bayern Munich
Yasser Radwan,Baladiya,Hansa Rostock
Marco van Hoogdalem,Roda JC,FC Schalke 04
Markus Schupp,E. Frankfurt,Hamburger SV
Pál Dárdai,Budapesti VSC,Hertha BSC
Ümit Davala,Istanbulspor,Galatasaray
Bjarne Goldbaek,1.FC Köln,FC Copenhagen
Cosmin Contra,Poli Timișoara,FC Dinamo
Kujtim Shala,F. Düsseldorf,VfB Leipzig
Gary McAllister,Leeds,Coventry
Kakhaber Tskhadadze,E. Frankfurt,Spartak V-kavkaz
Richard Forsyth,Birmingham,Stoke City
Lionel Perez,G. Bordeaux,Sunderland
Matty Appleby,Darlington,Barnsley FC
Gary Brabin,Bury,Blackpool
Silvio Meißner,Chemnitzer FC,Arm. Bielefeld
Heiko Gerber,Chemnitzer FC,Arm. Bielefeld
John Sheridan,Sheff Wed,Bolton
Kevin Cooper,Derby,Stockport
Zigor Aranalde,Sevilla FC,Albacete
Guy Butters,Portsmouth,Gillingham FC
Peter Butler,Notts County,West Brom
Oleg Suslov,Chornomorets,Casino Salzburg
Tae-kyu Kwon,Cheonan Ilhwa,Anyang LG Cheeta
Matthew Rush,Norwich,Oldham Athletic
Mario Frick,FC St. Gallen,FC Basel
Marko Rehmer,Union Berlin,Hansa Rostock
Marco Kurz,Bor. Dortmund,FC Schalke 04
Mario Tolkmitt,B. Leverkusen,F. Düsseldorf
Michael Zeyer,W. Mannheim,MSV Duisburg
Túlio Maravilha,Botafogo,Corinthians
Anthony Barness,Chelsea,Charlton
Salva Ballesta,Écija Balompié,Sevilla FC
Marco Ferrante,Salernitana,Torino
Chris Wilder,Notts County,Bradford
Edgaras Jankauskas,CSKA Moscow,Torpedo Moskau
Dean Kiely,York City,Bury
Al-Hasan Al-Yami,Najran SC,Al-Ittihad
Darren Wassall,Derby,Birmingham
Mingyu Ma,GD Winnerway,Sichuan FC
Mike Jackson,Bury,Preston
Lee Glover,Port Vale,Rotherham
Piracaia,FC Jazz,AIK
Shaun Garnett,Swansea,Oldham Athletic
Robert Enke,Carl Zeiss Jena,Bor. M'gladbach
Andreas Golombek,Wattenscheid 09,F. Düsseldorf
Jochen Seitz,Aschaffenburg,Hamburger SV
Samuel Johnson,PS Kalamata,RSC Anderlecht
Oscar Tato,Concordia BS,Servette FC
Victor Agali,FC NITEL Lagos,Marseille
Darko Pancev,F. Düsseldorf,FC Sion
Scott Mean,Bournemouth,West Ham
Daniel Pancu,Politehnica Iasi,Rapid Bucharest
Darren Purse,Leyton Orient,Oxford United
Darren Wrack,Derby,Grimsby Town
Radislav Orlovskiy,Dinamo 93,Torpedo Moskau
Paul Butler,Rochdale,Bury
Rónald Gómez,LD Alajuelense,Sporting Gijón
Tomasz Frankowski,Nagoya Grampus,Stade Poitevin
Vitalijs Astafjevs,Skonto,Austria Vienna
Brendan O'Connell,Barnsley FC,Charlton
Glen Little,Glentoran,Burnley
Paul McGrath,Aston Villa,Derby
Michael Frontzeck,Man City,SC Freiburg
Rayk Schröder,Union Berlin,1860 Munich
Kristijan Djordjevic,SSV Reutlingen,VfB Stuttgart
Zoran Mamic,Croatia Zagreb,VfL Bochum
Josko Bilic,Hajduk Split,HNK Sibenik
Andy Linighan,Arsenal,Crystal Palace
Wayne Burnett,Bolton,Huddersfield
Marcus Ebdon,Peterborough,Chesterfield FC
Oleg Yashchuk,Nyva Ternopil,RSC Anderlecht
Gary Elkins,Wimbledon FC,Swindon Town
Nigel Pepper,York City,Bradford
Brett Angell,Sunderland,Stockport
Carl Griffiths,Peterborough,Leyton Orient
Eloy Jiménez,UD Las Palmas,Elche CF
Mark Stallard,Bradford,Wycombe
Julio Salinas,Sporting Gijón,Yokohama Marinos
Brian Carey,Leicester,Wrexham
Gary Bennett,Preston,Wrexham
Scott Thomson,Aberdeen FC,Raith Rovers
Andy Saville,Preston,Wigan
Martin Carruthers,Stoke City,Peterborough
Michael Preetz,Wattenscheid 09,Hertha BSC
Timur Eroglu,W. Mannheim,Karlsruher SC
Miroslav Bicanic,NK Osijek,MSV Duisburg
Stefan Minkwitz,F. Düsseldorf,Stuttg. Kickers
Jörg Böhme,E. Frankfurt,1860 Munich
Torsten Frings,Alem. Aachen,Werder Bremen
Andrej Panadic,Chemnitzer FC,KFC Uerdingen
Helgi Sigurdsson,VfB Stuttgart,TeBe Berlin
Vasile Miriuță,AC Parma,Ferencváros
Chris Waddle,Bradford,Sunderland
Mario Block,VfB Lichterfelde,FC Luzern
Adrian Iencsi,Ceahlăul,Rapid Bucharest
Jan Koller,Sparta Prague,KSC Lokeren
Darko Vojvodic,Radnicki 1923,Napredak
Oleg Garas,FK Lviv,Loko Moskau
Peter Kennedy,Portadown,Notts County
Phil Robinson,Chesterfield FC,Notts County
Mark Tinkler,Leeds,York City
Massimo Oddo,Milan,Calcio Monza
Idan Tal,H. Jerusalem,M. Petah Tikva
David Rush,Oxford United,York City
Mick Bodley,Southend United,Peterborough
Neil Lewis,Leicester,Peterborough
Paul Jones,Wolves,Stockport
Mark Bright,Sheff Wed,FC Sion
Markus Oberleitner,Bayern Munich,F. Düsseldorf
Konstantinos Malekkos,Omonia Nikosia,Panathinaikos
Mark Watson,West Ham,Bournemouth
Damian Matthew,Crystal Palace,Burnley
Zvezdan Pejovic,F. Düsseldorf,E. Frankfurt
Martin Pieckenhagen,MSV Duisburg,Hansa Rostock
Oliver Kröner,Schweinfurt 05,F. Düsseldorf
Holger Fach,B. Leverkusen,F. Düsseldorf
Gunnar Sauer,Werder Bremen,Hertha BSC
Musemestre Bamba,VfB Hüls,LR Ahlen
Marijo Maric,TSF Ditzingen,VfB Stuttgart
Oliver Straube,1.FC Nuremberg,KFC Uerdingen
Darren Williams,York City,Sunderland
Shaun Taylor,Swindon Town,Bristol City
Nigel Jemson,Notts County,Oxford United
Scott McGleish,Peterborough,Leyton Orient
Brett Ormerod,Accrington,Blackpool
Michael Simpson,Notts County,Wycombe
Brendan Markey,Bohemians,Millwall
David McDougald,Brighton,Rotherham
Ian Hendon,Leyton Orient,Notts County
Paul Rogers,Notts County,Wigan
Keith O'Halloran,Middlesbrough,St. Johnstone
Thorsten Walther,VfB Stuttgart,F. Düsseldorf
Alec Chamberlain,Sunderland,Watford
Michael Gilkes,Reading,Wolves
John Cornforth,Birmingham,Wycombe
Tuncay Nadaroğlu,FV Bad Honnef,1.FC Köln
Vladan Milovanović,TuS Celle FC,Hannover 96
Daniel Winkler,Pfeddersheim,VfL Bochum
Carlo Nash,Clitheroe,Crystal Palace
Moussa Latoundji,AS Dragons,Julius Berger FC
Levan Kobiashvili,Dinamo Tbilisi,Spartak V-kavkaz
Kevin Austin,Leyton Orient,Lincoln City
Petr Sedunov,IFK Luleå,CSKA Moscow
Andy Cook,Swansea,Portsmouth
Ian Baird,Plymouth,Brighton
Leonardo Manzi,FC St. Pauli,Hannover 96
Daniel Küttner,Dynamo Dresden,Sachsen Leipzig
Richard Carpenter,Gillingham FC,Fulham
John Gayle,Stoke City,Northampton
Phil Stant,Bury,Lincoln City
Adrian Pennock,Bournemouth,Gillingham FC
Johann Stenzel,St. Pauli II,Arm. Bielefeld
Tony Bullock,Leek Town FC,Barnsley FC
Tony Gorman,Coleraine,Linfield
Dave Morrison,Peterborough,Leyton Orient
Marcin Zajac,Start Lodz,Widzew Lodz
Achim Hollerieth,SC Pfullendorf,KFC Uerdingen
Aleksey Bakharev,Lada-Togliat-VAZ,Spartak Moscow
Yuriy Vernydub,Torpedo Zaporizhya,Zenit S-Pb
Kingsley Black,Nottm Forest,Grimsby Town
Bart Griemink,Birmingham,Peterborough
Gary O'Connor,Heart of Midl.,Doncaster
Demir Duric,FSV Frankfurt,FC St. Pauli
Joe Enochs,St. Pauli II,VfL Osnabrück
Thomas Gansauge,PSV Rostock,Hansa Rostock
Devon White,Watford,Notts County
Dave Campbell,St. Pat's,Shelbourne
Lars Müller,B. Dortmund II,KFC Uerdingen
Scott Leitch,Heart of Midl.,Swindon Town
Julian Alsop,Halesowen,Bristol Rovers
Bernd Santl,Vestenbergsgr.,1.FC K'lautern
Macchambes Younga-Mouhani,Bor. M'gladbach,F. Düsseldorf
Frankie Bennett,Southampton,Bristol Rovers
Jonatan Johansson,TPS,FC Flora
Pat Morley,Cork City,Shelbourne
Elard Ostermann,Hamburger SV,Hannover 96
Kelham O'Hanlon,Dundee FC,Preston
Konstantin Lepekhin,Druzhba Maikop,Zenit S-Pb
Jerry Gill,Bath City,Yeovil Town
Ergin Ersoy,VfB Waltrop,Erkenschwick
Bernd Eigner,VfL Frohnlach,FC St. Pauli
Gary Kelly,Bury,Oldham Athletic
Paul McCarthy,Brighton,Wycombe
Paul Roberts,Porthmadog,Wrexham
Vágner,União São João,Santos
Balázs Kiskapusi,Budapesti VSC,Újpest
Joan Capdevila,UE Tarrega,RCD Espanyol B
Gaby Amato,River Plate,Hércules CF
Mazinho,Valencia,Celta de Vigo
Walter Pico,Boca Juniors,UD Las Palmas
David Hannah,Dundee United,Celtic
Artur Oliveira,Boavista,FC Porto
Juanma Prieto,CP Mérida,Celta de Vigo
Michael Schjønberg,Odense BK,1.FC K'lautern
Alejandro Simionato,Lanús,UD Las Palmas
Wolfgang Mair,SV Rapid Lienz,FC Tirol II
Robert Kocis,Tatran Presov,F. Düsseldorf
David Billington,Peterborough,Sheff Wed
Pedro Contreras,Real Madrid,Rayo Vallecano
Dani,Atlético Madrid,CD Tenerife
Dragan Radojicic,Vojvodina,UD Las Palmas
Darren Bullock,Huddersfield,Swindon Town
Alan Miller,Middlesbrough,West Brom
Matt Clarke,Rotherham,Sheff Wed
András Telek,Ferencváros,1.FC Kosice
Edinho,Vit. Guimarães,Bradford
Daniel Vidal,River Plate,UD Las Palmas
Arístides Rojas,Guaraní,UD Las Palmas
Ade Akinbiyi,Norwich,Gillingham FC
Steve Mautone,West Ham,Reading
Duncan Jupp,Fulham,Wimbledon FC
Jason Cundy,Tottenham,Ipswich
Paul Tosh,Dundee FC,Hibernian FC
Santiago Ezquerro,CA Osasuna,Atlético Madrid
Damian Mori,Adelaide City,Bor. M'gladbach
Anders Limpar,Everton,Birmingham
Andoni Lakabeg,Athletic,Celta de Vigo
Paul Reid,Huddersfield,Oldham Athletic
Sean Farrell,Peterborough,Notts County
Arild Sundgot,Hødd,Lillestrøm
Lee Power,Dundee FC,Hibernian FC
Ricardo Mendiguren,Athletic,UD Las Palmas
Phil Clarkson,Scunthorpe Utd.,Blackpool
Gary Bowman,Clydebank FC,St. Johnstone
Scott Partridge,Bristol City,Cardiff
Peter Hutton,Derry City,Portadown
Richard Wilkins,Hereford Utd.,Colchester Utd.
Ronnie Jepson,Huddersfield,Bury
Jim Rodwell,Halesowen,Rush. & Diamon.
Jeff Eckhardt,Stockport,Cardiff
Chris Beaumont,Stockport,Chesterfield FC
Stiliyan Petrov,Montana,CSKA Sofia
Jason Kavanagh,Derby,Wycombe
Paul Abrahams,Brentford,Colchester Utd.
Paul Watson,Gillingham FC,Fulham
Milan Jambor,FK Svit,Tatran Presov
Vinny Arkins,Notts County,Portadown
Dessie Gorman,Linfield,Newry City
Martin Petrov,Botev Vratsa,CSKA Sofia
Mark Hallam,Ilkeston Town,Hinckley United
Mark Herrick,Galway United,Cork City
Alan Shearer,Blackburn,Newcastle
Davor Suker,Sevilla FC,Real Madrid
Ivica Mornar,E. Frankfurt,Sevilla FC
Kily González,Boca Juniors,Real Zaragoza
Toni Prats,Celta de Vigo,Real Betis
Bixente Lizarazu,G. Bordeaux,Athletic
Ovidiu Stîngă,UD Salamanca,PSV Eindhoven
Sylvain Wiltord,Stade Rennais,Dep. La Coruña
José Mari,Real Betis,Athletic
Petr Kouba,Sparta Prague,Dep. La Coruña
Luis Fernández,Racing,Real Betis
Nenad Bjelica,Albacete,Real Betis
Aurelio Vidmar,FC Sion,CD Tenerife
Hakan Mild,IFK Göteborg,Real Sociedad
Eden Hazard,Chelsea,Real Madrid
Antoine Griezmann,Atlético Madrid,Barcelona
João Félix,Benfica,Atlético Madrid
Christian Eriksen,Tottenham,Inter
Philippe Coutinho,Barcelona,Bayern Munich
Harry Maguire,Leicester,Man Utd
Frenkie de Jong,Ajax,Barcelona
Matthijs de Ligt,Ajax,Juventus
Nicolas Pépé,LOSC Lille,Arsenal
Lucas Hernández,Atlético Madrid,Bayern Munich
Rodri,Atlético Madrid,Man City
Mauro Icardi,Inter,Paris SG
Romelu Lukaku,Man Utd,Inter
João Cancelo,Juventus,Man City
Bruno Fernandes,Sporting CP,Man Utd
Tanguy Ndombélé,Olympique Lyon,Tottenham
Luka Jović,E. Frankfurt,Real Madrid
Luka Jović,Benfica,E. Frankfurt
Nabil Fekir,Olympique Lyon,Real Betis
Aaron Wan-Bissaka,Crystal Palace,Man Utd
Sébastien Haller,E. Frankfurt,West Ham
Éder Militão,FC Porto,Real Madrid
Julian Brandt,B. Leverkusen,Bor. Dortmund
Giovani Lo Celso,Paris SG,Real Betis
Giovani Lo Celso,Real Betis,Tottenham
Rafael Leão,LOSC Lille,AC Milan
Ferland Mendy,Olympique Lyon,Real Madrid
Rodrygo,Santos,Real Madrid
Mateo Kovacic,Real Madrid,Chelsea
Youri Tielemans,Monaco,Leicester
Hirving Lozano,PSV Eindhoven,Napoli
Konstantinos Manolas,AS Roma,Napoli
Erling Haaland,RB Salzburg,Bor. Dortmund
Duván Zapata,Sampdoria,Atalanta BC
Paco Alcácer,Bor. Dortmund,Villarreal
Malcom,Barcelona,Zenit S-Pb
Wissam Ben Yedder,Sevilla FC,Monaco
Moise Kean,Juventus,Everton
Pablo Sarabia,Sevilla FC,Paris SG
Maxi Gómez,Celta de Vigo,Valencia
Ante Rebic,E. Frankfurt,AC Milan
Aaron Ramsey,Arsenal,Juventus
Raúl Jiménez,Benfica,Wolves
Thorgan Hazard,Bor. M'gladbach,Bor. Dortmund
Danilo,Man City,Juventus
Paco Alcácer,Barcelona,Bor. Dortmund
Nicolò Barella,Cagliari Calcio,Inter
Joelinton,TSG Hoffenheim,Newcastle
Benjamin Pavard,VfB Stuttgart,Bayern Munich
Jules Koundé,G. Bordeaux,Sevilla FC
Jasper Cillessen,Barcelona,Valencia
Abdou Diallo,Bor. Dortmund,Paris SG
Mats Hummels,Bayern Munich,Bor. Dortmund
Steven Bergwijn,PSV Eindhoven,Tottenham
Dani Olmo,Dinamo Zagreb,RB Leipzig
Ryan Sessegnon,Fulham,Tottenham
Marko Arnautovic,West Ham,SH SIPG
Kieran Trippier,Tottenham,Atlético Madrid
Tiemoué Bakayoko,Chelsea,Monaco
Alexis Sánchez,Man Utd,Inter
Adrien Rabiot,Paris SG,Juventus
Ayoze Pérez,Newcastle,Leicester
Franck Kessié,Atalanta BC,AC Milan
Kerem Demirbay,TSG Hoffenheim,B. Leverkusen
Krzysztof Piatek,AC Milan,Hertha BSC
Cristian Romero,Genoa,Juventus
Alex Iwobi,Arsenal,Everton
William Saliba,Saint-Étienne,Arsenal
Marcos Llorente,Real Madrid,Atlético Madrid
Gelson Martins,Atlético Madrid,Monaco
Reinier,Flamengo,Real Madrid
Idrissa Gueye,Everton,Paris SG
Ismaïla Sarr,Stade Rennais,Watford
Matteo Politano,Sassuolo,Inter
Stephan El Shaarawy,AS Roma,SH Shenhua
Ivan Perisic,Inter,Bayern Munich
Emre Can,Juventus,Bor. Dortmund
Suso,AC Milan,Sevilla FC
Dani Ceballos,Real Madrid,Arsenal
Santi Mina,Valencia,Celta de Vigo
Leonardo Spinazzola,Juventus,AS Roma
Borja Iglesias,Espanyol,Real Betis
Pablo Fornals,Villarreal,West Ham
André Gomes,Barcelona,Everton
Jean-Philippe Gbamin,1.FSV Mainz 05,Everton
Patrick Cutrone,AC Milan,Wolves
Matteo Politano,Inter,Napoli
Yannick Carrasco,DL Pro,Atlético Madrid
Radja Nainggolan,Inter,Cagliari Calcio
Kieran Tierney,Celtic,Arsenal
Neto,Valencia,Barcelona
Alex Meret,Udinese Calcio,Napoli
Nico Schulz,TSG Hoffenheim,Bor. Dortmund
Danny Ings,Liverpool,Southampton
Dejan Kulusevski,Atalanta BC,Juventus
Mario Hermoso,Espanyol,Atlético Madrid
Lucas Tousart,Olympique Lyon,Hertha BSC
Sander Berge,KRC Genk,Sheff Utd
Rony Lopes,Monaco,Sevilla FC
Wesley Moraes,Club Brugge,Aston Villa
Jeff Reine-Adélaïde,Angers SCO,Olympique Lyon
Joachim Andersen,Sampdoria,Olympique Lyon
Bryan Cristante,Atalanta BC,AS Roma
Thiago Mendes,LOSC Lille,Olympique Lyon
Junior Firpo,Real Betis,Barcelona
Allan Saint-Maximin,OGC Nice,Newcastle
Exequiel Palacios,River Plate,B. Leverkusen
Shoya Nakajima,Al-Duhail SC,FC Porto
Henrikh Mkhitaryan,Arsenal,AS Roma
Jean Michaël Seri,Fulham,Galatasaray
Dejan Kulusevski,Juventus,Parma
Ander Herrera,Man Utd,Paris SG
Frank Anguissa,Fulham,Villarreal
Dennis Praet,Sampdoria,Leicester
Pau López,Real Betis,AS Roma
Nikola Vlasic,Everton,CSKA Moscow
Julian Weigl,Bor. Dortmund,Benfica
Gabriel Barbosa,Inter,Flamengo
Steven Nzonzi,AS Roma,Galatasaray
Simone Verdi,Napoli,Torino
Theo Hernández,Real Madrid,AC Milan
Raúl de Tomás,Benfica,Espanyol
Valentino Lazaro,Hertha BSC,Inter
Victor Osimhen,R Charleroi SC,LOSC Lille
Tyrone Mings,Bournemouth,Aston Villa
Adam Webster,Bristol City,Brighton
Pedri,UD Las Palmas,Barcelona
Filip Kostić,Hamburger SV,E. Frankfurt
Gianluca Mancini,Atalanta BC,AS Roma
Christian Kouamé,Genoa,Fiorentina
Héctor Herrera,FC Porto,Atlético Madrid
André Silva,AC Milan,E. Frankfurt
Alfonso Pedraza,Villarreal,Real Betis
Renan Lodi,Athletico-PR,Atlético Madrid
Jarrod Bowen,Hull City,West Ham
Luis Muriel,Sevilla FC,Atalanta BC
Amadou Diawara,Napoli,AS Roma
Raphinha,Sporting CP,Stade Rennais
Stanislav Lobotka,Celta de Vigo,Napoli
Yacine Brahimi,FC Porto,Al-Rayyan SC
Kasper Dolberg,Ajax,OGC Nice
Edmond Tapsoba,Vit. Guimarães,B. Leverkusen
Felipe,FC Porto,Atlético Madrid
Dodi Lukébakio,Watford,Hertha BSC
Maximilian Philipp,Bor. Dortmund,Dinamo Moscow
Raúl de Tomás,Real Madrid,Benfica
Youssef En-Nesyri,CD Leganés,Sevilla FC
Emil Audero,Juventus,Sampdoria
Bruno Guimarães,Athletico-PR,Olympique Lyon
Renato Sanches,Bayern Munich,LOSC Lille
Ademola Lookman,Everton,RB Leipzig
Diadié Samassékou,RB Salzburg,TSG Hoffenheim
Andrea Petagna,Atalanta BC,SPAL
João Pedro,Fluminense,Watford
David Luiz,Chelsea,Arsenal
Aarón Martín,Espanyol,1.FSV Mainz 05
Chris Smalling,Man Utd,AS Roma
Patrick Cutrone,Wolves,Fiorentina
Giovanni Simeone,Fiorentina,Cagliari Calcio
Marko Grujic,Liverpool,Hertha BSC
Danny Rose,Tottenham,Newcastle
Jordan Veretout,Fiorentina,AS Roma
Mario Balotelli,Marseille,Brescia
Álvaro Odriozola,Real Madrid,Bayern Munich
Diego Godín,Atlético Madrid,Inter
Carles Aleñá,Barcelona,Real Betis
Lucas Tousart,Hertha BSC,Olympique Lyon
Alessandro Florenzi,AS Roma,Valencia
Daniel Podence,Olympiacos,Wolves
Sofyan Amrabat,Hellas Verona,Fiorentina
Merih Demiral,Sassuolo,Juventus
Christopher Nkunku,Paris SG,RB Leipzig
Oli McBurnie,Swansea,Sheff Utd
