Player,Left Team,Joined Team
Vic Halom,Fulham,Luton
José Antonio Lico,Español,Valencia
Juanito,CD Tenerife,Barcelona
Santillana,Santander,Real Madrid
Pat Howard,Barnsley FC,Newcastle
Pedro Corral,Santander,Real Madrid
Agustin Arrieta,CD Logroñés,Real Betis
Joop van Maurik,Holland Sport,HVC
Francisco Izkoa,Real Zaragoza,Granada CF
Chirri,Real Zaragoza,Granada CF
Luis Ramón Leirós,Atlético Madrid,Real Zaragoza
Emilio Lacruz,SD Huesca,Real Zaragoza
Dave Roberts,Fulham,Oxford United
Paja Dolezar,AGOVV,Go Ahead Eagles
Jacques von Ranzow,NOAD,Eindhoven
Ronaldo,PSV Eindhoven,Barcelona
Ariel Ortega,River Plate,Valencia
Finidi George,Ajax,Real Betis
Fabrizio Ravanelli,Juventus,Middlesbrough
Vincent Candela,Guingamp,AS Roma
Zé Roberto,Portuguesa,Real Madrid
Predrag Mijatović,Valencia,Real Madrid
Clarence Seedorf,Sampdoria,Real Madrid
Nick Barmby,Middlesbrough,Everton
Andrey Kanchelskis,Everton,Fiorentina
Darko Kovačević,Sheff Wed,Real Sociedad
Matías Almeyda,River Plate,Sevilla FC
Luis Oliveira,Cagliari Calcio,Fiorentina
Lee Sharpe,Man Utd,Leeds
Christophe Dugarry,G. Bordeaux,Milan
Vítor Baía,FC Porto,Barcelona
Gianfranco Zola,AC Parma,Chelsea
Youri Djorkaeff,Paris SG,Inter
Diego Simeone,Atlético Madrid,Inter
Marco Grassi,Stade Rennais,Monaco
Sasa Curcic,Bolton,Aston Villa
Roberto Carlos,Inter,Real Madrid
Pierre van Hooijdonk,Celtic,Nottm Forest
Rivaldo,Palmeiras,Dep. La Coruña
Valeriy Karpin,Real Sociedad,Valencia
Juan Sebastián Verón,Boca Juniors,Sampdoria
Giovanni,Santos,Barcelona
Fernando Couto,AC Parma,Barcelona
Roberto Di Matteo,Lazio,Chelsea
Patrick Vieira,Milan,Arsenal
Benny Carbone,Inter,Sheff Wed
Flávio Conceição,Palmeiras,Dep. La Coruña
John Hartson,Arsenal,West Ham
Marcelo Ramos,Cruzeiro,PSV Eindhoven
Caio,Inter,Napoli
Iván Gabrich,Newell's,Ajax
Alan Stubbs,Bolton,Celtic
Pavel Nedved,1.FC Kosice,Lazio
Laurent Blanc,AJ Auxerre,Barcelona
Fabio Galante,Genoa,Inter
Sebastián Rozental,U. Católica,Rangers
Alen Boksic,Lazio,Juventus
Vincenzo Montella,Genoa,Sampdoria
Jörg Albertz,Hamburger SV,Rangers
Fernando Cáceres,Boca Juniors,Valencia
Leandro Machado,Internacional,Valencia
Christian Panucci,Milan,Real Madrid
Hernán Crespo,River Plate,AC Parma
Mario Basler,Werder Bremen,Bayern Munich
Hélder Cristóvão,Benfica,Dep. La Coruña
Fernando Cáceres,Real Zaragoza,Boca Juniors
Émerson,FC Porto,Middlesbrough
Jardel,Grêmio,FC Porto
Federico Magallanes,Peñarol,Atalanta BC
Karel Poborský,Slavia Prague,Man Utd
Igor Shalimov,Udinese,Bologna
Nwankwo Kanu,Ajax,Inter
Albert Nadj,Partizan,Real Betis
Andy Booth,Huddersfield,Sheff Wed
Lee Bowyer,Charlton,Leeds
Christian Vieri,Atalanta BC,Juventus
Gheorghe Hagi,Barcelona,Galatasaray
Gary Breen,Birmingham,Coventry
Paulo Sousa,Juventus,Bor. Dortmund
Bebeto,Flamengo,Sevilla FC
Corentin Martins,AJ Auxerre,Dep. La Coruña
Patrik Berger,Bor. Dortmund,Liverpool
Jay-Jay Okocha,E. Frankfurt,Fenerbahce
Paul Kitson,Newcastle,West Ham
Zinédine Zidane,G. Bordeaux,Juventus
Tommy Johnson,Aston Villa,Celtic
Frank Leboeuf,R. Strasbourg,Chelsea
Claudio López,Racing Club,Valencia
